_	 110676
├	 44171
g	 38046
n	 28905
ng	 25522
-	 25073
i	 20857
─	 15794
╠	 12730
u	 12359
g_	 11753
ng_	 11740
k	 11663
д	 9719
╠д	 9607
g-	 9518
ng-	 9509
h	 9477
s	 9277
│	 8970
┼	 8677
_g	 8534
c	 8414
i├	 7398
g├	 7036
d	 6922
м	 6041
_g├	 5838
╣	 5787
_s	 5643
├м	 5591
н	 5581
,	 5408
,_	 5393
й	 5373
к	 5340
б	 5239
├й	 5213
├к	 5186
├б	 5156
в	 5155
├в	 5102
_c	 4993
u├	 4832
k_	 4730
├│	 4454
с	 4382
с╣	 4371
╣│	 4371
с╣│	 4331
│╠	 4109
_d	 3986
┤	 3972
├┤	 3877
k-	 3871
s├	 3789
м_	 3743
├м_	 3611
g├м	 3558
l	 3544
Г	 3510
_g├м	 3506
.	 3502
л	 3484
Б	 3431
─н	 3414
-g	 3409
─Г	 3399
._	 3386
g├м_	 3293
_g├м_	 3265
─Б	 3257
П	 3227
b	 3218
-c	 3133
-s	 3070
┼П	 3061
╣│╠	 3013
с╣│╠	 3013
д_	 3007
╠д_	 3005
и	 2983
d├	 2968
i─	 2872
├и	 2867
_n	 2759
_s├	 2741
c├	 2683
-d	 2681
▓	 2654
e	 2640
u_	 2632
i_	 2552
_├	 2522
├▓	 2487
i┼	 2450
si	 2440
а	 2396
m	 2394
к_	 2347
-h	 2346
├к_	 2344
_h	 2328
├а	 2328
дng	 2236
╠дn	 2236
дn	 2236
╠дng	 2236
│k	 2210
h├	 2210
t	 2176
Н	 2145
s├к	 2049
А	 2047
i├й	 2014
┼н	 2007
ci	 1991
Х	 1990
_b	 1976
h_	 1976
┼Н	 1969
)	 1952
gu	 1944
(	 1931
_(	 1901
├│k	 1892
─Х	 1871
g─	 1861
-n	 1827
ch	 1822
дng_	 1802
╠дng_	 1802
─л	 1788
нng	 1781
нn	 1781
У	 1757
_c├	 1722
_s├к	 1708
i-	 1694
s├к_	 1677
├иn	 1669
иng	 1669
├иng	 1669
иn	 1669
_si	 1647
├▓ng	 1639
▓n	 1639
├▓n	 1639
▓ng	 1639
_d├	 1597
_l	 1596
д-	 1556
╠д-	 1556
─У	 1553
-l	 1552
n├	 1545
gi	 1544
hu	 1536
_s├к_	 1532
H	 1521
├вi	 1507
вi	 1507
Д	 1504
мn	 1503
мng	 1503
e╠	 1481
e╠д	 1479
_─	 1457
┼л	 1410
di	 1408
Ж	 1407
a	 1401
_H	 1386
╠Д	 1384
├мng	 1372
├мn	 1372
с╣│╠Д	 1367
╣│╠Д	 1367
│╠Д	 1367
gu├	 1364
-d├	 1357
g-g	 1351
ng-g	 1350
╠Ж	 1349
йk	 1345
├йk	 1345
s─	 1340
нk	 1324
g,	 1323
ng,	 1322
g,_	 1321
ng,_	 1320
u┼	 1315
─нng	 1308
─нn	 1308
i┼П	 1304
бi	 1304
├бi	 1303
с╣│╠Ж	 1296
╣│╠Ж	 1296
йng	 1296
├йn	 1296
├йng	 1296
йn	 1296
│╠Ж	 1296
g-c	 1290
ng-c	 1290
u├│	 1288
├╣	 1283
х	 1266
i├и	 1263
┤_	 1259
├┤_	 1257
_k	 1252
G	 1225
l├	 1218
н_	 1208
л_	 1193
бu	 1193
├бu	 1193
Гng	 1192
Гn	 1192
─Гn	 1192
─Гng	 1192
g├б	 1190
si├	 1178
gi├	 1176
ng-d	 1161
g-d	 1161
дс	 1157
дс╣	 1157
╠дс	 1157
дс╣│	 1157
╠дс╣│	 1157
╠дс╣	 1157
D	 1151
)_	 1131
hi	 1121
C	 1117
e╠дng	 1115
e╠дn	 1115
o	 1111
S	 1105
├│╠д	 1096
│╠д	 1096
├│╠	 1096
g├в	 1095
аn	 1093
├аn	 1093
-b	 1091
├аng	 1090
аng	 1090
-m	 1087
┤n	 1087
┤ng	 1087
├┤n	 1087
├┤ng	 1087
│k-	 1074
